epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.82,1.42506,1.74241,1.13354,0.63468,0.45425,0.49789,0.26772,1.40213,1.10367,1.11703,0.0004738,0.0004738,0.0004738
2,156.43,1.29594,1.06641,1.07007,0.65981,0.48026,0.54051,0.30152,1.1991,0.89758,1.03117,0.000903101,0.000903101,0.000903101
3,220.103,1.2528,0.93693,1.04844,0.6318,0.49843,0.53602,0.31088,1.19252,0.90688,1.05728,0.00128525,0.00128525,0.00128525
4,282.945,1.22921,0.8806,1.04601,0.62628,0.54585,0.59086,0.34169,1.13879,0.79616,1.01856,0.00121679,0.00121679,0.00121679
5,345.262,1.18537,0.82546,1.03065,0.67937,0.56628,0.61558,0.36298,1.12879,0.74865,1.02066,0.00114606,0.00114606,0.00114606
6,408.649,1.14725,0.79611,1.01183,0.7412,0.57484,0.65654,0.38756,1.09502,0.73396,1.00435,0.00107532,0.00107532,0.00107532
7,471.646,1.12776,0.76246,1.00567,0.74047,0.54761,0.64253,0.39002,1.04381,0.69424,0.98536,0.00100459,0.00100459,0.00100459
8,534.503,1.10099,0.73731,0.99561,0.71583,0.60385,0.65493,0.39554,1.04219,0.6922,0.99789,0.000933851,0.000933851,0.000933851
9,597.401,1.08082,0.73876,0.99024,0.75386,0.6137,0.7062,0.42828,1.01303,0.65546,0.97527,0.000863116,0.000863116,0.000863116
10,660.039,1.06837,0.70234,0.98368,0.76406,0.63597,0.69694,0.42851,1.00231,0.64894,0.97568,0.00079238,0.00079238,0.00079238
11,786.578,1.05417,0.68975,0.98192,0.77513,0.61812,0.69218,0.42674,1.00852,0.65945,0.9769,0.000721645,0.000721645,0.000721645
12,848.674,1.03459,0.67448,0.97759,0.7741,0.64761,0.70838,0.43005,0.99163,0.63806,0.96763,0.000650909,0.000650909,0.000650909
13,911.884,1.02127,0.65858,0.96977,0.79592,0.62797,0.71128,0.43738,0.9743,0.63307,0.96198,0.000580174,0.000580174,0.000580174
14,973.804,0.99553,0.63724,0.9588,0.76571,0.68862,0.73446,0.45502,0.95888,0.61665,0.95968,0.000509438,0.000509438,0.000509438
15,1036.18,0.97751,0.62314,0.95402,0.84151,0.6722,0.75674,0.47349,0.92804,0.59574,0.9479,0.000438703,0.000438703,0.000438703
16,1098.43,0.96031,0.60612,0.94641,0.84626,0.67379,0.76478,0.47845,0.93228,0.58546,0.94997,0.000367967,0.000367967,0.000367967
17,1160.88,0.94331,0.5871,0.93914,0.80764,0.69323,0.77134,0.48585,0.92017,0.5726,0.94532,0.000297232,0.000297232,0.000297232
18,1222.91,0.9182,0.57189,0.93177,0.85932,0.67697,0.7816,0.49898,0.89794,0.55596,0.94059,0.000226497,0.000226497,0.000226497
19,1284.29,0.90487,0.56343,0.93011,0.85468,0.70277,0.79358,0.51001,0.88055,0.5419,0.93257,0.000155761,0.000155761,0.000155761
20,1346.19,0.88158,0.5467,0.92128,0.85579,0.71055,0.80014,0.51586,0.86591,0.53297,0.93051,8.50255e-05,8.50255e-05,8.50255e-05
