epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.633,1.39216,1.58762,1.11562,0.59744,0.47983,0.50116,0.2743,1.2749,0.99603,1.05711,0.000475063,0.000475063,0.000475063
2,655.856,1.29182,1.04558,1.06588,0.70513,0.49008,0.56424,0.31275,1.23397,0.8685,1.05353,0.000904302,0.000904302,0.000904302
3,776.544,1.2704,0.93797,1.05738,0.65094,0.51546,0.57874,0.32841,1.17184,0.82716,1.02958,0.00128638,0.00128638,0.00128638
4,852.422,1.2241,0.88292,1.04993,0.73374,0.51019,0.59733,0.34354,1.16029,0.79877,1.02234,0.00121679,0.00121679,0.00121679
5,922.433,1.18411,0.82527,1.02856,0.71141,0.57232,0.62896,0.3774,1.10495,0.74763,1.00419,0.00114606,0.00114606,0.00114606
6,990.499,1.1499,0.78684,1.01544,0.72014,0.54928,0.63525,0.3818,1.04983,0.74027,0.99323,0.00107532,0.00107532,0.00107532
7,1058.91,1.12548,0.75957,1.00256,0.77993,0.62136,0.68626,0.40814,1.03129,0.68671,0.98104,0.00100459,0.00100459,0.00100459
8,1128.4,1.10923,0.74255,0.99412,0.74789,0.60258,0.67416,0.40556,1.0519,0.6837,0.9809,0.000933851,0.000933851,0.000933851
9,1195.62,1.08847,0.72341,0.99273,0.80224,0.60693,0.69653,0.42765,1.00478,0.64775,0.97532,0.000863116,0.000863116,0.000863116
10,1264,1.05981,0.69273,0.97727,0.79088,0.64262,0.7222,0.44278,0.97768,0.63669,0.96845,0.00079238,0.00079238,0.00079238
11,1903.87,1.05153,0.68675,0.97864,0.72814,0.59776,0.6696,0.41103,1.01175,0.6555,0.97316,0.000721645,0.000721645,0.000721645
12,2140.78,1.03269,0.66747,0.97042,0.7451,0.59274,0.67775,0.42076,0.99496,0.65168,0.96738,0.000650909,0.000650909,0.000650909
13,2253.93,1.0147,0.65268,0.96612,0.75793,0.66527,0.73152,0.45609,0.97356,0.62378,0.95951,0.000580174,0.000580174,0.000580174
14,2341.42,0.99791,0.63315,0.9574,0.82332,0.66405,0.74759,0.46491,0.94699,0.6082,0.95532,0.000509438,0.000509438,0.000509438
15,2428.24,0.98355,0.62116,0.9514,0.79416,0.66351,0.74755,0.47255,0.94071,0.59492,0.9513,0.000438703,0.000438703,0.000438703
16,2505.81,0.96005,0.60578,0.94671,0.81261,0.67486,0.75596,0.4801,0.92688,0.58019,0.94513,0.000367967,0.000367967,0.000367967
17,2575.99,0.94128,0.58935,0.94006,0.85131,0.67076,0.77018,0.49371,0.90718,0.56575,0.94209,0.000297232,0.000297232,0.000297232
18,2649.74,0.91713,0.57138,0.93468,0.82685,0.67866,0.76919,0.49389,0.89677,0.55252,0.93494,0.000226497,0.000226497,0.000226497
19,2716.14,0.90383,0.56348,0.92842,0.85822,0.69795,0.78586,0.51231,0.8828,0.54297,0.92779,0.000155761,0.000155761,0.000155761
20,2783.84,0.88031,0.54918,0.92201,0.86924,0.70042,0.79034,0.51601,0.86717,0.53648,0.92426,8.50255e-05,8.50255e-05,8.50255e-05
